BoroCode,BoroName,CountyFIPS,NTA2020,NTAName,NTAAbbrev,NTAType,CDTA2020,CDTAName,Shape_Length,Shape_Area
3,Brooklyn,47,BK0101,Greenpoint,Grnpt,0,BK01,BK01 Williamsburg-Greenpoint (CD 1 Equivalent),28919.5608108,35321809.1041
3,Brooklyn,47,BK0102,Williamsburg,Wllmsbrg,0,BK01,BK01 Williamsburg-Greenpoint (CD 1 Equivalent),28134.0823238,28852852.7038
3,Brooklyn,47,BK0103,South Williamsburg,SWllmsbrg,0,BK01,BK01 Williamsburg-Greenpoint (CD 1 Equivalent),18250.2805432,15208960.7339
3,Brooklyn,47,BK0104,East Williamsburg,EWllmsbrg,0,BK01,BK01 Williamsburg-Greenpoint (CD 1 Equivalent),43184.7989883,52267407.9898
3,Brooklyn,47,BK0201,Brooklyn Heights,BkHts,0,BK02,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),14312.5049745,9982321.59069
3,Brooklyn,47,BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,DwntwnBk,0,BK02,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),30598.6654257,23732977.7564
3,Brooklyn,47,BK0203,Fort Greene,FtGrn,0,BK02,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),23284.6223898,17534133.6285
3,Brooklyn,47,BK0204,Clinton Hill,ClntnHl,0,BK02,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),18102.9686076,14566584.9803
3,Brooklyn,47,BK0261,Brooklyn Navy Yard,BkNvyYrd,6,BK02,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),39415.6436873,10106806.635
3,Brooklyn,47,BK0301,Bedford-Stuyvesant (West),BdSty_W,0,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),26307.6456376,36906698.6871
3,Brooklyn,47,BK0302,Bedford-Stuyvesant (East),BdSty_E,0,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),29753.971481,41289700.8947
3,Brooklyn,47,BK0401,Bushwick (West),Bshwck_W,0,BK04,BK04 Bushwick (CD 4 Equivalent),23685.2328996,23134298.5847
3,Brooklyn,47,BK0402,Bushwick (East),Bshwck_E,0,BK04,BK04 Bushwick (CD 4 Equivalent),27121.7759763,27932549.7883
3,Brooklyn,47,BK0471,The Evergreens Cemetery,EvrgrnsCem,7,BK04,BK04 Bushwick (CD 4 Equivalent),10950.2090072,5585573.10822
3,Brooklyn,47,BK0501,Cypress Hills,CyprssHls,0,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),31089.6613556,24378886.7845
3,Brooklyn,47,BK0502,East New York (North),ENY_N,0,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),25634.3708724,27906985.5143
3,Brooklyn,47,BK0503,East New York-New Lots,ENY_NwLts,0,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),36564.9221384,46458087.1583
3,Brooklyn,47,BK0504,Spring Creek-Starrett City,SpCrk_StrC,0,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),32929.681301,27086261.2389
3,Brooklyn,47,BK0505,East New York-City Line,ENY_CtyLn,0,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),29722.6972715,31529168.2312
3,Brooklyn,47,BK0571,Highland Park-Cypress Hills Cemeteries (South),CyHlsCem_S,7,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),15889.670132,8100960.02835
3,Brooklyn,47,BK0601,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,CrrllGrdns,0,BK06,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),67164.8713143,60811777.9097
3,Brooklyn,47,BK0602,Park Slope,PkSlp,0,BK06,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),23501.6963774,25829299.1477
3,Brooklyn,47,BK0701,Windsor Terrace-South Slope,WndsrTr,0,BK07,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),21233.3223806,15312193.2624
3,Brooklyn,47,BK0702,Sunset Park (West),SnstPk_W,0,BK07,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),79869.4676208,50378926.3048
3,Brooklyn,47,BK0703,Sunset Park (Central),SnstPk_C,0,BK07,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),24014.3235981,18754283.5747
3,Brooklyn,47,BK0771,Green-Wood Cemetery,GrnWdCem,7,BK07,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),18789.0223745,21101598.4551
3,Brooklyn,47,BK0801,Prospect Heights,PrspctHts,0,BK08,BK08 Crown Heights (North) (CD 8 Approximation),15043.42602,10317998.8731
3,Brooklyn,47,BK0802,Crown Heights (North),CrwnHts_N,0,BK08,BK08 Crown Heights (North) (CD 8 Approximation),30149.1119359,35416299.5051
3,Brooklyn,47,BK0891,Lincoln Terrace Park,LclnTrPk,9,BK08,BK08 Crown Heights (North) (CD 8 Approximation),4568.61695824,1214617.20439
3,Brooklyn,47,BK0901,Crown Heights (South),CrwnHts_S,0,BK09,BK09 Crown Heights (South) (CD 9 Approximation),24197.4188692,20053831.2869
3,Brooklyn,47,BK0902,Prospect Lefferts Gardens-Wingate,PLG_Wngt,0,BK09,BK09 Crown Heights (South) (CD 9 Approximation),26322.6887315,24039825.8649
3,Brooklyn,47,BK1001,Bay Ridge,ByRdg,0,BK10,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),41302.393105,61636884.1763
3,Brooklyn,47,BK1002,Dyker Heights,DykrHts,0,BK10,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),25001.4902519,29119072.7659
3,Brooklyn,47,BK1061,Fort Hamilton,FtHmltn,6,BK10,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),16460.9558915,8464624.25082
3,Brooklyn,47,BK1091,Dyker Beach Park,DykrBchPk,9,BK10,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),14627.5015315,9989377.30555
3,Brooklyn,47,BK1101,Bensonhurst,Bnsnhrst,0,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),33669.6206896,48634931.3054
3,Brooklyn,47,BK1102,Bath Beach,BthBch,0,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),22422.3738907,20556456.5049
3,Brooklyn,47,BK1103,Gravesend (West),Grvsnd_W,0,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),32821.0633934,33835199.9242
3,Brooklyn,47,BK1201,Sunset Park (East)-Borough Park (West),SnstPk_E,0,BK12,BK12 Borough Park-Kensington (CD 12 Approximation),15982.4795797,11749149.0763
3,Brooklyn,47,BK1202,Borough Park,BoroPk,0,BK12,BK12 Borough Park-Kensington (CD 12 Approximation),28481.0788258,40481286.209
3,Brooklyn,47,BK1203,Kensington,Knsngtn,0,BK12,BK12 Borough Park-Kensington (CD 12 Approximation),20316.7344947,17471228.5678
3,Brooklyn,47,BK1204,Mapleton-Midwood (West),Mpltn,0,BK12,BK12 Borough Park-Kensington (CD 12 Approximation),27783.8770059,31356436.4968
3,Brooklyn,47,BK1301,Gravesend (South),Grvsnd_S,0,BK13,BK13 Coney Island-Brighton Beach (CD 13 Approximation),36857.789678,25835766.4141
3,Brooklyn,47,BK1302,Coney Island-Sea Gate,CnyIsl,0,BK13,BK13 Coney Island-Brighton Beach (CD 13 Approximation),49219.5225987,47588744.4463
3,Brooklyn,47,BK1303,Brighton Beach,BrghtnBch,0,BK13,BK13 Coney Island-Brighton Beach (CD 13 Approximation),16805.8963456,13564293.5113
3,Brooklyn,47,BK1391,Calvert Vaux Park,ClvrtVxPk,9,BK13,BK13 Coney Island-Brighton Beach (CD 13 Approximation),11280.7390606,4222370.92529
3,Brooklyn,47,BK1401,Flatbush,Fltbsh,0,BK14,BK14 Flatbush-Midwood (CD 14 Approximation),33235.6144996,24024170.9071
3,Brooklyn,47,BK1402,Flatbush (West)-Ditmas Park-Parkville,Fltbsh_W,0,BK14,BK14 Flatbush-Midwood (CD 14 Approximation),31252.1644935,22904661.2434
3,Brooklyn,47,BK1403,Midwood,Mdwd,0,BK14,BK14 Flatbush-Midwood (CD 14 Approximation),25034.850805,32218510.5036
3,Brooklyn,47,BK1501,Gravesend (East)-Homecrest,Grvsnd_E,0,BK15,BK15 Sheepshead Bay-Gravesend (East) (CD 15 Approximation),31842.34571,34879887.2984
3,Brooklyn,47,BK1502,Madison,Mdsn,0,BK15,BK15 Sheepshead Bay-Gravesend (East) (CD 15 Approximation),26237.2574783,27379162.2434
3,Brooklyn,47,BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,ShpshdBy,0,BK15,BK15 Sheepshead Bay-Gravesend (East) (CD 15 Approximation),91279.920033,63370464.9436
3,Brooklyn,47,BK1601,Ocean Hill,OcnHl,0,BK16,BK16 Ocean Hill-Brownsville (CD 16 Approximation),22493.7145077,20089686.2396
3,Brooklyn,47,BK1602,Brownsville,Brwnsvl,0,BK16,BK16 Ocean Hill-Brownsville (CD 16 Approximation),25719.2901481,30785525.9349
3,Brooklyn,47,BK1701,East Flatbush-Erasmus,EFb_Ersms,0,BK17,BK17 East Flatbush (CD 17 Approximation),21908.3884789,19770955.739
3,Brooklyn,47,BK1702,East Flatbush-Farragut,EFb_Frrgt,0,BK17,BK17 East Flatbush (CD 17 Approximation),23276.2090214,24121898.8739
3,Brooklyn,47,BK1703,East Flatbush-Rugby,EFb_Rgby,0,BK17,BK17 East Flatbush (CD 17 Approximation),31994.7058619,27204096.5369
3,Brooklyn,47,BK1704,East Flatbush-Remsen Village,EFb_RmsnVl,0,BK17,BK17 East Flatbush (CD 17 Approximation),22056.7581241,18390696.3511
3,Brooklyn,47,BK1771,Holy Cross Cemetery,HlyCrssCem,7,BK17,BK17 East Flatbush (CD 17 Approximation),9226.10071533,4276575.27415
3,Brooklyn,47,BK1801,Flatlands,Fltlnds,0,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),40597.2781543,54337180.5023
3,Brooklyn,47,BK1802,Marine Park-Mill Basin-Bergen Beach,MrnPk_MBsn,0,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),76294.7332726,58871249.5789
3,Brooklyn,47,BK1803,Canarsie,Cnrsie,0,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),42346.1171195,70533384.7947
3,Brooklyn,47,BK1891,Marine Park-Plumb Island,MrnPk_PIsl,9,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),96948.2520985,43267148.4951
3,Brooklyn,47,BK1892,McGuire Fields,McGrFlds,9,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),24718.5811259,10589588.7703
3,Brooklyn,47,BK1893,Canarsie Park & Pier,CnrsiePk,9,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),24203.9931907,11552049.3338
3,Brooklyn,47,BK5591,Prospect Park,PrspctPk,9,BK55,BK55 Prospect Park (JIA 55 Approximation),24199.2161196,27318825.3497
3,Brooklyn,47,BK5691,Barren Island-Floyd Bennett Field,BrrnIsl,9,BK56,BK56 Jamaica Bay (West) (JIA 56 Approximation),44394.1577507,54676007.9064
3,Brooklyn,47,BK5692,Jamaica Bay (West),JmcaBy_W,9,BK56,BK56 Jamaica Bay (West) (JIA 56 Approximation),136901.829722,39754276.8935
3,Brooklyn,47,BK5693,Shirley Chisholm State Park,ShChshlmPk,9,BK56,BK56 Jamaica Bay (West) (JIA 56 Approximation),26521.917742,18284900.8907
2,Bronx,5,BX0101,Mott Haven-Port Morris,MttHvn,0,BX01,BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation),29217.4141379,40974743.8394
2,Bronx,5,BX0102,Melrose,Mlrs,0,BX01,BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation),19589.1957848,17271764.0101
2,Bronx,5,BX0201,Hunts Point,HntsPt,0,BX02,BX02 Longwood-Hunts Point (CD 2 Approximation),37430.5331651,45024974.2916
2,Bronx,5,BX0202,Longwood,Lngwd,0,BX02,BX02 Longwood-Hunts Point (CD 2 Approximation),21722.406653,15398909.2717
2,Bronx,5,BX0291,North & South Brother Islands,BrthrIsls,9,BX02,BX02 Longwood-Hunts Point (CD 2 Approximation),6884.55160267,930649.178846
2,Bronx,5,BX0301,Morrisania,Mrrsnia,0,BX03,BX03 Morrisania-Crotona Park East (CD 3 Approximation),21889.2147363,13811173.6972
2,Bronx,5,BX0302,Claremont Village-Claremont (East),ClrmntVlg,0,BX03,BX03 Morrisania-Crotona Park East (CD 3 Approximation),16428.063862,9998253.87876
2,Bronx,5,BX0303,Crotona Park East,CrtnaPkEst,0,BX03,BX03 Morrisania-Crotona Park East (CD 3 Approximation),20755.057984,15978694.8031
2,Bronx,5,BX0391,Crotona Park,CrtnaPk,9,BX03,BX03 Morrisania-Crotona Park East (CD 3 Approximation),11725.2461047,6339738.9994
2,Bronx,5,BX0401,Concourse-Concourse Village,Cncrs,0,BX04,BX04 Highbridge-Concourse (CD 4 Approximation),29504.1897281,26502982.337
2,Bronx,5,BX0402,Highbridge,Hghbrdg,0,BX04,BX04 Highbridge-Concourse (CD 4 Approximation),15723.426785,13048058.903
2,Bronx,5,BX0403,Mount Eden-Claremont (West),MtEdn,0,BX04,BX04 Highbridge-Concourse (CD 4 Approximation),21598.9605873,13607411.4119
2,Bronx,5,BX0491,Yankee Stadium-Macombs Dam Park,YnkStdm,9,BX04,BX04 Highbridge-Concourse (CD 4 Approximation),9678.13363523,2811049.72446
2,Bronx,5,BX0492,Claremont Park,ClrmntPk,9,BX04,BX04 Highbridge-Concourse (CD 4 Approximation),6257.33974374,1862238.83971
2,Bronx,5,BX0501,University Heights (South)-Morris Heights,UnvrsHts_S,0,BX05,BX05 Morris Heights-Mount Hope (CD 5 Approximation),21833.8725883,19642617.1129
2,Bronx,5,BX0502,Mount Hope,MtHp,0,BX05,BX05 Morris Heights-Mount Hope (CD 5 Approximation),16278.2432382,12684327.4733
2,Bronx,5,BX0503,Fordham Heights,FrdhmHts,0,BX05,BX05 Morris Heights-Mount Hope (CD 5 Approximation),12917.2800472,7379039.8277
2,Bronx,5,BX0601,West Farms,WstFrms,0,BX06,BX06 Tremont-Belmont-West Farms (CD 6 Approximation),21993.6283684,11701248.447
2,Bronx,5,BX0602,Tremont,Trmnt,0,BX06,BX06 Tremont-Belmont-West Farms (CD 6 Approximation),18324.1149353,15826653.8686
2,Bronx,5,BX0603,Belmont,Blmnt,0,BX06,BX06 Tremont-Belmont-West Farms (CD 6 Approximation),19746.6528478,16393957.4518
2,Bronx,5,BX0701,University Heights (North)-Fordham,UnvrsHts_N,0,BX07,BX07 Fordham-Bedford Park-Norwood (CD 7 Approximation),27360.6202538,18313195.1519
2,Bronx,5,BX0702,Bedford Park,BdfrdPk,0,BX07,BX07 Fordham-Bedford Park-Norwood (CD 7 Approximation),20847.6055744,24553606.6693
2,Bronx,5,BX0703,Norwood,Nrwd,0,BX07,BX07 Fordham-Bedford Park-Norwood (CD 7 Approximation),22139.0118922,15721133.8853
2,Bronx,5,BX0801,Kingsbridge Heights-Van Cortlandt Village,KngbrdgHts,0,BX08,BX08 Riverdale-Kingsbridge-Marble Hill (CD 8 Approximation),20471.1169409,10970194.8102
2,Bronx,5,BX0802,Kingsbridge-Marble Hill,Kngbrdg,0,BX08,BX08 Riverdale-Kingsbridge-Marble Hill (CD 8 Approximation),19810.9643057,12312473.9654
2,Bronx,5,BX0803,Riverdale-Spuyten Duyvil,Rvrdl,0,BX08,BX08 Riverdale-Kingsbridge-Marble Hill (CD 8 Approximation),37646.5885757,62983243.9042
2,Bronx,5,BX0901,Soundview-Bruckner-Bronx River,Sdvw_BxRvr,0,BX09,BX09 Soundview-Parkchester (CD 9 Approximation),26836.6199475,32208011.091
2,Bronx,5,BX0902,Soundview-Clason Point,Sdvw_ClsPt,0,BX09,BX09 Soundview-Parkchester (CD 9 Approximation),40475.0764244,30323642.0659
2,Bronx,5,BX0903,Castle Hill-Unionport,CstlHl,0,BX09,BX09 Soundview-Parkchester (CD 9 Approximation),39756.7175604,32897687.2272
2,Bronx,5,BX0904,Parkchester,Pkchstr,0,BX09,BX09 Soundview-Parkchester (CD 9 Approximation),12411.8210451,9184335.37344
2,Bronx,5,BX0991,Soundview Park,SdvwPk,9,BX09,BX09 Soundview-Parkchester (CD 9 Approximation),18349.7751361,7794400.48623
2,Bronx,5,BX1001,Westchester Square,WstchstrSq,0,BX10,BX10 Co-op City-Throgs Neck (CD 10 Approximation),23739.7064899,15373412.4202
2,Bronx,5,BX1002,Throgs Neck-Schuylerville,ThrgsNck,0,BX10,BX10 Co-op City-Throgs Neck (CD 10 Approximation),86658.4257079,66476701.1353
2,Bronx,5,BX1003,Pelham Bay-Country Club-City Island,PlhmBy,0,BX10,BX10 Co-op City-Throgs Neck (CD 10 Approximation),121140.616881,35309768.2107
2,Bronx,5,BX1004,Co-op City,CoopCty,0,BX10,BX10 Co-op City-Throgs Neck (CD 10 Approximation),25102.6493541,29055691.8896
2,Bronx,5,BX1071,Hart Island,HrtIsl,7,BX10,BX10 Co-op City-Throgs Neck (CD 10 Approximation),16969.5838688,4905129.20093
2,Bronx,5,BX1091,Ferry Point Park-St. Raymond Cemetery,FrryPtPk,9,BX10,BX10 Co-op City-Throgs Neck (CD 10 Approximation),26872.2150145,21745194.3531
2,Bronx,5,BX1101,Pelham Parkway-Van Nest,PlhmPkwy,0,BX11,BX11 Pelham Parkway-Morris Park (CD 11 Approximation),22993.8204586,15588390.1942
2,Bronx,5,BX1102,Morris Park,MrrsPk,0,BX11,BX11 Pelham Parkway-Morris Park (CD 11 Approximation),24671.3979358,27833108.9336
2,Bronx,5,BX1103,Pelham Gardens,PlhmGrdns,0,BX11,BX11 Pelham Parkway-Morris Park (CD 11 Approximation),24342.895677,30064181.1663
2,Bronx,5,BX1104,Allerton,Allrtn,0,BX11,BX11 Pelham Parkway-Morris Park (CD 11 Approximation),17837.9372112,15753915.6386
2,Bronx,5,BX1161,Hutchinson Metro Center,HtchMtrCtr,6,BX11,BX11 Pelham Parkway-Morris Park (CD 11 Approximation),20669.4375082,12190146.1387
2,Bronx,5,BX1201,Williamsbridge-Olinville,Wllmsbrdg,0,BX12,BX12 Wakefield-Williamsbridge-Eastchester (CD 12 Approximation),29370.8199883,36242285.5929
2,Bronx,5,BX1202,Eastchester-Edenwald-Baychester,Estchstr,0,BX12,BX12 Wakefield-Williamsbridge-Eastchester (CD 12 Approximation),54240.3776895,56395940.1063
2,Bronx,5,BX1203,Wakefield-Woodlawn,Wkfld_Wdln,0,BX12,BX12 Wakefield-Williamsbridge-Eastchester (CD 12 Approximation),39101.7264595,39646811.8353
2,Bronx,5,BX1271,Woodlawn Cemetery,WdlnCem,7,BX12,BX12 Wakefield-Williamsbridge-Eastchester (CD 12 Approximation),18168.5908242,17886378.9836
2,Bronx,5,BX2691,Van Cortlandt Park,VnCrtldtPk,9,BX26,BX26 Van Cortlandt Park (JIA 26 Equivalent),32864.1143508,50658600.0584
2,Bronx,5,BX2791,Bronx Park,BxPk,9,BX27,BX27 Bronx Park (JIA 27 Approximation),32846.0124495,33461137.997
2,Bronx,5,BX2891,Pelham Bay Park,PlhmByPk,9,BX28,BX28 Pelham Bay Park (JIA 28 Approximation),111081.193859,99280602.9876
1,Manhattan,61,MN0101,Financial District-Battery Park City,FiDi,0,MN01,MN01 Financial District-Tribeca (CD 1 Equivalent),44446.23701,19245010.2267
1,Manhattan,61,MN0102,Tribeca-Civic Center,TriBeCa,0,MN01,MN01 Financial District-Tribeca (CD 1 Equivalent),21222.4438605,13577180.8544
1,Manhattan,61,MN0191,The Battery-Governors Island-Ellis Island-Liberty Island,Btry_GvIsl,9,MN01,MN01 Financial District-Tribeca (CD 1 Equivalent),48758.7056944,11989895.9472
1,Manhattan,61,MN0201,SoHo-Little Italy-Hudson Square,SoHo,0,MN02,MN02 Greenwich Village-SoHo (CD 2 Equivalent),18577.1117369,12916760.8197
1,Manhattan,61,MN0202,Greenwich Village,GrnwchVlg,0,MN02,MN02 Greenwich Village-SoHo (CD 2 Equivalent),12973.9502246,10599574.2038
1,Manhattan,61,MN0203,West Village,WstVlg,0,MN02,MN02 Greenwich Village-SoHo (CD 2 Equivalent),23882.339236,14417743.2208
1,Manhattan,61,MN0301,Chinatown-Two Bridges,Chntwn,0,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),16464.4819808,11542575.3819
1,Manhattan,61,MN0302,Lower East Side,LES,0,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),19890.8854458,16473190.8355
1,Manhattan,61,MN0303,East Village,EstVlg,0,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),21975.6267264,18984762.3304
1,Manhattan,61,MN0401,Chelsea-Hudson Yards,Chls_HdsYd,0,MN04,MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),40095.235373,29671752.0467
1,Manhattan,61,MN0402,Hell's Kitchen,HllsKtchn,0,MN04,MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),34693.874782,18382315.8164
1,Manhattan,61,MN0501,Midtown South-Flatiron-Union Square,MdtwnSth,0,MN05,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),18800.7659691,14878105.0779
1,Manhattan,61,MN0502,Midtown-Times Square,Mdtwn_TmSq,0,MN05,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),21258.4015908,24552509.2228
